회사명,거래소코드,회계년도,순운전자본비율점수,부채비율점수,재고자산증가율점수,총자산증가율점수,매입채무회전기간점수,매출액순이익률점수,자기자본순이익률점수,금융비용 대 총비용비율점수,총자산사업이익률점수,총자산투자효율점수,분기별 기업 위험 점수,회계년,회계달
(주)카프로,6380,2022-12-01,9.542425094393248,10.0,0.3010299956639812,8.450980400142567,3.1126050015345745,6.020599913279624,6.989700043360188,3.8169700377573,6.989700043360188,9.030899869919436,64.2549103994111,2022,12
(주)뷰웍스,100120,2022-12-01,2.8627275283179747,4.0,2.4082399653118496,1.6901960800285136,1.5563025007672873,0.6020599913279624,0.6989700043360189,0.4771212547196624,0.6989700043360189,1.806179973983887,16.800767303129174,2022,12
에이치엠엠(주),11200,2022-12-01,1.9084850188786495,2.0,2.4082399653118496,0.8450980400142568,2.3344537511509307,0.6020599913279624,0.6989700043360189,4.294091292476962,0.6989700043360189,0.9030899869919436,16.69345805482459,2022,12
(주)와이엠텍,273640,2022-12-01,0.9542425094393248,1.0,2.4082399653118496,1.6901960800285136,1.5563025007672873,1.2041199826559248,1.3979400086720375,4.771212547196624,0.6989700043360189,0.9030899869919436,16.584313585399524,2022,12
텔코웨어(주),78000,2022-12-01,0.9542425094393248,2.0,0.0,3.3803921600570277,5.447058752685505,0.6020599913279624,0.6989700043360189,1.4313637641589874,0.6989700043360189,0.9030899869919436,16.116147173332788,2022,12
(주)오비고,352910,2022-12-01,0.9542425094393248,1.0,0.0,2.5352941200427703,0.0,0.6020599913279624,2.7958800173440754,3.339848783037637,2.0969100130080567,2.7092699609758304,16.033505395175656,2022,12
브레인즈컴퍼니(주),99390,2022-12-01,0.9542425094393248,1.0,0.9030899869919436,4.225490200071284,5.447058752685505,0.6020599913279624,0.6989700043360189,0.4771212547196624,0.6989700043360189,0.9030899869919436,15.910092690899663,2022,12
제룡산업(주),147830,2022-12-01,0.9542425094393248,1.0,2.709269960975831,2.5352941200427703,3.8907562519182175,1.2041199826559248,1.3979400086720375,0.4771212547196624,0.6989700043360189,0.9030899869919436,15.77080407975173,2022,12
대보마그네틱(주),290670,2022-12-01,1.9084850188786495,3.0,2.1072099696478683,0.8450980400142568,1.5563025007672873,0.6020599913279624,0.6989700043360189,3.339848783037637,0.6989700043360189,0.9030899869919436,15.660034299337642,2022,12
(주)에이치피에스피,403870,2022-12-01,0.9542425094393248,3.0,2.709269960975831,0.8450980400142568,2.3344537511509307,0.6020599913279624,1.3979400086720375,1.4313637641589874,1.3979400086720375,0.9030899869919436,15.575458021403312,2022,12
