회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융비용(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)국영지앤엠,006050,2019/03,59326,6922,24423,7022,52304,2433,556,13797,513,12830,452547,0,6
(주)국영지앤엠,006050,2020/03,64778,9273,27404,12000,52778,2713,460,17533,662,16461,607723,0,23
(주)국영지앤엠,006050,2021/03,67908,14225,30516,18341,49567,1777,-1446,15573,565,16575,588972,0,33
(주)국영지앤엠,006050,2022/03,65034,17727,29116,19325,45709,2819,-443,12123,768,11553,478222,0,43
(주)국전약품,307750,2019/03,,,,,,,,,,,,,
(주)국전약품,307750,2020/03,,,,,,,,,,,,,
(주)국전약품,307750,2021/03,61589,25233,42865,28186,33403,15401,1174,18142,2339,14076,9738403,0,443
(주)국전약품,307750,2022/03,112652,23807,78456,28601,84051,18816,1391,25316,3496,19744,11128320,0,461
(주)그래디언트,035080,2011/03,369219,1598,235568,5361,363858,0,654,2303,4510,0,0,0,12
(주)그래디언트,035080,2012/03,514629,116044,47102,179964,334665,0,253,5131,5085,0,0,0,1979
(주)그래디언트,035080,2013/03,484042,36539,13520,76894,407148,0,-3619,4541,1961,0,0,0,483
(주)그래디언트,035080,2014/03,484337,25267,18261,42842,441495,0,14144,4508,1913,0,0,0,326
(주)그래디언트,035080,2015/03,464585,36302,11206,47760,416824,0,-1432,10023,1715,0,0,0,72
(주)그래디언트,035080,2016/03,484446,29361,16764,41039,443407,0,13539,13898,1830,0,0,0,191
(주)그래디언트,035080,2017/03,412142,12711,8959,17457,394685,0,8236,9839,1752,0,0,0,77
(주)그래디언트,035080,2018/03,352377,14109,11602,19415,332962,0,7052,9546,1773,0,0,0,78
(주)그래디언트,035080,2019/03,348579,13618,11264,19119,329460,0,7864,8720,594,0,0,0,97
(주)그래디언트,035080,2020/03,348166,17710,12289,21219,326948,0,10494,12001,1384,0,0,0,124
(주)그래디언트,035080,2021/03,588471,224067,180101,237568,350903,14035,1451,82802,38302,44388,14030746,0,203
(주)그래디언트,035080,2022/03,577362,263571,285814,264223,313140,0,-16030,2168,2408,0,0,0,5
(주)그리티,204020,2019/03,91812,12116,80167,18193,73619,31720,1381,27416,14027,11730,3567424,0,156
(주)그리티,204020,2020/03,88339,12777,66615,14264,74075,32044,368,27839,14569,12943,2203176,0,266
(주)그리티,204020,2021/03,82362,10487,58879,11807,70555,37689,-2156,19439,12227,9536,4705220,0,130
(주)그리티,204020,2022/03,78343,12723,53355,13282,65060,38695,35,26027,15315,10678,6124146,0,67
(주)그린플러스,186230,2020/03,59874,17031,31072,21933,37941,6814,864,10159,1139,8691,1785760,0,137
(주)그린플러스,186230,2021/03,75229,27607,42513,40045,35183,6505,1735,17757,1308,14629,3688363,0,249
(주)그린플러스,186230,2022/03,87767,18987,54011,26336,61431,9058,1042,18326,1237,15868,3364941,0,193
(주)글로벌스탠다드테크놀로지,083450,2011/03,36663,10770,23057,12929,23734,7833,235,7079,2237,4863,3149397,0,5
(주)글로벌스탠다드테크놀로지,083450,2012/03,54107,18451,35467,25164,28943,11591,3661,25580,4683,16853,4818380,0,99
(주)글로벌스탠다드테크놀로지,083450,2013/03,50469,13910,28602,15503,34965,15120,1070,13270,3944,8543,3093127,0,31
(주)글로벌스탠다드테크놀로지,083450,2014/03,64679,22019,41197,23488,41192,21120,2414,20376,4718,13712,7931455,0,22
(주)글로벌스탠다드테크놀로지,083450,2015/03,64569,15769,38236,17781,46788,12602,1087,21809,6541,14034,4226386,0,23
(주)글로벌스탠다드테크놀로지,083450,2016/03,62080,11892,31011,13405,48675,9019,-1036,11993,4459,8572,4364712,0,9
(주)글로벌스탠다드테크놀로지,083450,2017/03,84003,25505,52262,27708,56294,17313,3023,42154,8161,29131,10715216,0,1533
(주)글로벌스탠다드테크놀로지,083450,2018/03,89383,18939,45411,21830,67553,16401,3366,35966,7429,24711,6440169,0,175
(주)글로벌스탠다드테크놀로지,083450,2019/03,86671,10981,41588,13730,72941,13750,171,20711,6215,14916,5518243,0,76
(주)글로벌스탠다드테크놀로지,083450,2020/03,124013,26867,81421,28697,95316,20164,7881,45492,8935,28814,10116631,0,88
(주)글로벌스탠다드테크놀로지,083450,2021/03,141585,35187,97495,37180,104405,23171,8915,64890,13431,41027,16164456,0,139
(주)글로벌스탠다드테크놀로지,083450,2022/03,180106,43639,127836,45372,134734,34643,8249,53676,9657,35131,15529814,0,736
(주)금화피에스시,036190,2011/03,80124,11989,55007,14756,65368,0,3239,18196,1099,13434,661519,0,67
(주)금화피에스시,036190,2012/03,100463,20817,71568,24298,76165,0,2458,21113,1270,17055,1732105,0,7
(주)금화피에스시,036190,2013/03,114569,17904,83119,21575,92994,0,4215,29706,1631,23732,1643298,0,1
(주)금화피에스시,036190,2014/03,137883,23417,79445,26258,111625,0,3949,32433,1578,26348,2766478,0,15
(주)금화피에스시,036190,2015/03,152741,25516,88211,28736,124005,0,2718,43588,1577,39270,0,0,0
(주)금화피에스시,036190,2016/03,173650,30597,97258,31888,141762,0,4909,44208,1432,37135,0,0,321
(주)금화피에스시,036190,2017/03,197542,37164,120493,38382,159160,0,4567,40792,1409,33808,0,0,965
(주)금화피에스시,036190,2018/03,214866,35595,138598,38130,176736,0,6249,42842,2291,33997,2423909,0,227
(주)금화피에스시,036190,2019/03,250372,37238,154162,39114,211259,0,7592,39601,1982,31330,2502105,0,8
(주)금화피에스시,036190,2020/03,268202,38376,151870,42157,226045,0,7062,41644,2216,36501,3468325,0,4
(주)금화피에스시,036190,2021/03,276702,40357,151607,42260,234442,0,5111,47708,2424,42231,6012661,0,0
(주)금화피에스시,036190,2022/03,280741,28750,142420,31135,249606,0,5051,44054,2760,37966,0,0,223
(주)기가레인,049080,2014/03,128024,39936,57268,56682,71342,11319,2829,23100,1459,18621,8465906,0,410
(주)기가레인,049080,2015/03,144075,47488,48194,71233,72841,9206,-3305,16341,1708,18070,5252123,0,303
(주)기가레인,049080,2016/03,148973,52599,40921,84797,64176,5734,-1279,17024,1331,17520,3983801,0,471
(주)기가레인,049080,2017/03,152299,80800,43713,100029,52270,7292,-4783,20281,2208,21026,10357644,0,707
(주)기가레인,049080,2018/03,182773,81994,72754,93920,88853,29214,949,30298,4110,24800,7875296,0,797
(주)기가레인,049080,2019/03,162913,71868,82589,101535,61378,38821,-5363,12378,4058,12899,8243434,0,1000
(주)기가레인,049080,2020/03,105607,46005,51419,78258,27349,10689,-2547,13749,2869,13037,5165187,0,742
(주)기가레인,049080,2021/03,96754,25984,56138,47411,49344,6606,-1474,14289,2570,13366,7225216,0,580
(주)기가레인,049080,2022/03,92250,23681,51408,30049,62201,7531,-837,15580,2583,14224,5248998,0,247
(주)기산텔레콤,035460,2011/03,64598,16380,42316,27141,37457,13589,-2751,2325,2797,1844,3645217,0,401
(주)기산텔레콤,035460,2012/03,64501,25094,42204,28906,35594,7681,3113,19933,1957,14497,10114395,0,303
(주)기산텔레콤,035460,2013/03,41490,7576,20670,9382,32108,5817,-1804,2930,2359,2577,679612,0,98
(주)기산텔레콤,035460,2014/03,47593,10224,27131,11954,35639,5662,-445,7257,2611,5155,3688408,0,55
(주)기산텔레콤,035460,2015/03,47454,9003,28992,11867,35586,6363,-834,6444,1959,5327,3269617,0,56
(주)기산텔레콤,035460,2016/03,46234,5243,29698,7789,38445,5144,-671,3881,1550,3103,2607835,0,29
