회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융원가
(주)플레이위드,23770,2011/12,81430.0,53782.0,16367.0,60516.0,20914.0,9.0,-7758.0,18280.0,20539.0,1948.0,426.289,2281.0
(주)플레이위드,23770,2012/12,89226.0,73162.0,80916.0,78254.0,10972.0,12.0,-9907.0,17600.0,20015.0,1233.0,333.052,3543.0
(주)플레이위드,23770,2013/12,80161.0,76268.0,72270.0,78105.0,2056.0,2.0,-9385.0,13809.0,14982.0,1060.0,303.019,789.0
(주)플레이위드,23770,2014/12,74933.0,70070.0,2862.0,70906.0,4027.0,0.0,2336.0,7929.0,4242.0,3169.0,33.492,301.0
(주)플레이위드,23770,2015/12,78689.0,72191.0,2985.0,73118.0,5572.0,0.0,911.0,8669.0,4657.0,2320.0,14.777,326.0
(주)플레이위드,23770,2016/12,86543.0,74597.0,9831.0,75680.0,10863.0,0.0,2038.0,11813.0,4675.0,4802.0,20.002,686.0
(주)플레이위드,23770,2017/12,87975.0,78094.0,10594.0,79313.0,8662.0,0.0,-2818.0,11925.0,5369.0,5470.0,729.134,1170.0
(주)플레이위드,23770,2018/12,79291.0,73619.0,6419.0,75057.0,4234.0,0.0,-7545.0,11815.0,8284.0,5444.0,244.083,685.0
(주)플레이위드,23770,2019/12,122708.0,104195.0,46843.0,104649.0,18059.0,0.0,9076.0,56032.0,23643.0,18802.0,2955.359,9742.0
(주)플레이위드,23770,2020/12,108532.0,74993.0,27159.0,75473.0,33059.0,0.0,13353.0,42963.0,15494.0,13827.0,877.643,1879.0
(주)플레이위드,23770,2021/12,103128.0,72727.0,86412.0,74212.0,28915.0,0.0,1845.0,13265.0,8585.0,4205.0,412.715,642.0
(주)플레이위드,23770,2022/12,33933.0,3543.0,18861.0,6793.0,27140.0,0.0,-3014.0,14505.0,17044.0,4646.0,256.061,1172.0
(주)플리토,300080,2019/12,26411.0,1121.0,24924.0,2309.0,24101.0,0.0,-5937.0,1985.0,7722.0,0.0,0.0,343.0
(주)플리토,300080,2020/12,24783.0,2537.0,22812.0,3566.0,21217.0,0.0,-2962.0,7439.0,10849.0,0.0,0.0,95.0
(주)플리토,300080,2021/12,27908.0,1891.0,26199.0,10728.0,17181.0,0.0,-5781.0,9338.0,15482.0,0.0,0.0,443.0
(주)플리토,300080,2022/12,24768.0,10778.0,21893.0,12776.0,11991.0,0.0,-5868.0,13639.0,20235.0,0.0,0.0,1225.0
(주)피델릭스,32580,2011/12,63193.0,30823.0,46543.0,35241.0,27952.0,23228.0,3057.0,84354.0,8019.0,71193.0,18636.661,966.0
(주)피델릭스,32580,2012/12,50838.0,17523.0,32265.0,21047.0,29790.0,16840.0,2220.0,93256.0,7616.0,81146.0,7746.73,976.0
(주)피델릭스,32580,2013/12,58858.0,17271.0,40337.0,23953.0,34905.0,21632.0,4850.0,87522.0,8704.0,71660.0,10365.387,519.0
(주)피델릭스,32580,2014/12,68750.0,25232.0,45531.0,33625.0,35125.0,21365.0,425.0,78116.0,9218.0,67170.0,12853.035,540.0
(주)피델릭스,32580,2015/12,54615.0,13798.0,34689.0,21306.0,33309.0,20309.0,-6072.0,65582.0,11378.0,56149.0,5959.224,548.0
(주)피델릭스,32580,2016/12,47919.0,17297.0,34985.0,23848.0,24070.0,22561.0,-9204.0,56465.0,11012.0,48750.0,5970.355,379.0
(주)피델릭스,32580,2017/12,52092.0,26350.0,40008.0,27744.0,24348.0,19250.0,491.0,61153.0,8833.0,50533.0,9727.821,863.0
(주)피델릭스,32580,2018/12,64509.0,32802.0,54622.0,35017.0,29491.0,25764.0,3541.0,75434.0,9223.0,62569.0,15953.979,1860.0
(주)피델릭스,32580,2019/12,68738.0,30685.0,60749.0,32711.0,36027.0,29657.0,-1218.0,56030.0,9122.0,47370.0,15927.678,2416.0
(주)피델릭스,32580,2020/12,59909.0,20140.0,52219.0,22702.0,37207.0,22505.0,-5155.0,58691.0,9283.0,53152.0,14405.752,4187.0
(주)피델릭스,32580,2021/12,52495.0,8830.0,44013.0,11881.0,40614.0,13722.0,2900.0,77637.0,11807.0,62018.0,5591.833,1107.0
(주)피델릭스,32580,2022/12,57767.0,7479.0,51830.0,8701.0,49066.0,21120.0,8247.0,72559.0,11307.0,54970.0,4464.8,1103.0
(주)피씨디렉트,51380,2011/12,34666.0,17180.0,32402.0,17632.0,17034.0,7980.0,2157.0,177433.0,5418.0,168880.0,11100.76,3100.0
(주)피씨디렉트,51380,2012/12,30733.0,12269.0,28386.0,12499.0,18234.0,5635.0,1355.0,177391.0,5670.0,170513.0,9909.622,1765.0
(주)피씨디렉트,51380,2013/12,38445.0,15147.0,34468.0,15393.0,23052.0,6792.0,-2756.0,150131.0,6190.0,147257.0,9900.024,1676.0
(주)피씨디렉트,51380,2014/12,47975.0,24901.0,44677.0,25212.0,22763.0,15137.0,-188.0,174058.0,6544.0,167107.0,17463.009,1794.0
(주)피씨디렉트,51380,2015/12,48493.0,24788.0,45364.0,25129.0,23364.0,10361.0,170.0,197723.0,7038.0,189225.0,14242.617,2674.0
(주)피씨디렉트,51380,2016/12,49727.0,22439.0,47856.0,22647.0,27080.0,10098.0,1266.0,208138.0,7605.0,197764.0,12741.129,2829.0
(주)피씨디렉트,51380,2017/12,53640.0,23747.0,51842.0,23752.0,29887.0,11190.0,3004.0,227418.0,8538.0,216017.0,12893.464,1473.0
(주)피씨디렉트,51380,2018/12,56592.0,21367.0,54589.0,21497.0,35094.0,12172.0,3333.0,240055.0,9701.0,225574.0,13519.001,1817.0
(주)피씨디렉트,51380,2019/12,67605.0,29044.0,63210.0,31526.0,36079.0,16196.0,3771.0,278616.0,10894.0,261977.0,15835.244,2493.0
(주)피씨디렉트,51380,2020/12,81429.0,39292.0,77760.0,40010.0,41418.0,21357.0,6082.0,313463.0,13037.0,293548.0,19229.208,2303.0
(주)피씨디렉트,51380,2021/12,95053.0,41184.0,90343.0,41840.0,53213.0,34174.0,13002.0,364851.0,14773.0,331278.0,13950.837,3202.0
(주)피씨디렉트,51380,2022/12,90624.0,45025.0,82397.0,45793.0,44831.0,37212.0,-4144.0,312263.0,13346.0,298111.0,20085.493,10595.0
(주)피에이치씨,57880,2011/12,120946.0,14068.0,94793.0,31391.0,89555.0,30271.0,1819.0,93147.0,16808.0,75843.0,0.0,1384.0
(주)피에이치씨,57880,2012/12,100377.0,14843.0,78368.0,25149.0,75228.0,29563.0,-13552.0,54103.0,10409.0,50341.0,3358.943,846.0
(주)피에이치씨,57880,2013/12,93371.0,17965.0,70622.0,21495.0,71876.0,22507.0,-2936.0,31151.0,12584.0,22545.0,1534.228,623.0
(주)피에이치씨,57880,2014/12,53135.0,16069.0,36266.0,17506.0,35629.0,12828.0,-38491.0,15539.0,15329.0,27627.0,498.707,515.0
(주)피에이치씨,57880,2015/12,43874.0,17699.0,27936.0,18512.0,25361.0,6969.0,-9653.0,21686.0,8423.0,21154.0,892.328,439.0
